"appid","average_2weeks","average_forever","developer","median_2weeks","median_forever","name","negative","owners","owners_variance","players_2weeks","players_2weeks_variance","players_forever","players_forever_variance","positive","price","publisher","score_rank","userscore"
"579940","597","1292","Temple Gates Games","815","1816","Race for the Galaxy","11","3148","1777","1312","1147","2886","1702","38","699","Temple Gates Games","40","77"
"493080","0","375","WinterSpring Games","0","592","Card Quest","4","3148","1777","0","0","2099","1451","82","999","Black Shell Media","92","95"
"732730","74","89","Rocketeer Games Studio, LLC","27","22","Red Crucible: Reloaded","141","148215","12196","26233","5131","115162","10751","151","0","Rocketeer Games Studio, LLC","9","51"
"289260","0","238","Shaman Games Studio","0","186","Dreamscapes: The Sandman - Premium Edition","15","33053","5760","0","0","5247","2295","79","699","1C Company, Playrix","56","76"
"376300","82","1299","Arc System Works","96","355","GUILTY GEAR Xrd -SIGN-","130","106767","10351","3139","2172","93126","9668","1854","2999","Arc System Works","86","93"
"24860","67","1394","DICE","96","226","Battlefield 2","208","344961","18602","1312","1147","304300","17472","1743","0","Electronic Arts","","0"
"655470","0","102","StarSystemStudios™","0","110","A Goo Adventure","0","14428","3805","0","0","1049","1026","0","199","StarSystemStudios™","","0"
"244830","0","1608","Wingware","0","1750","Wing IDE 5","1","1183","1336","0","0","1183","1336","16","7999","Wingware","89","91"
"581430","212","216","Spectrum Games","212","210","Triangle","21","125655","11230","785","1538","118572","10909","10","49","AYE Technology","2","30"
"636450","17","156","Monstars Inc., Resonair","23","77","Rez Infinite","40","24921","5001","2356","2664","20724","4561","429","2499","Enhance Games","78","91"
"535330","0","5","Chris_Antoni","0","5","Block King","1","1183","1336","0","0","785","1538","19","99","Chris_Antoni","92","93"
"615490","545","320","","545","348","I'm Awesome","0","2099","1451","784","1536","1574","1257","0","199","","","0"
"458330","0","235","Bludgeonsoft","0","235","Vilmonic","2","3673","1920","0","0","1049","1026","30","999","Bludgeonsoft","86","92"
"434090","1","318","toxtronyx interactive GmbH","1","489","Bridge! 2","25","2099","1451","785","1538","1836","1357","18","999","Aerosoft GmbH","5","27"
"263320","19","199","Mighty Rabbit Studios","19","185","Saturday Morning RPG","90","167627","12970","784","1536","89454","9475","375","699","Actigame Publishing Corp.","46","80"
"247430","643","237","Io-Interactive A/S","240","36","Hitman: Contracts","157","646638","25462","2099","1451","142444","11956","836","699","Io-Interactive A/S","56","83"
"559610","82","276","Razzart Visual","106","200","Love Ribbon","28","14428","3805","1576","1542","12329","3518","588","999","Razzart Visual","92","95"
"589680","64","33","Albert MN.","64","33","Chainless","0","788","1091","791","1550","788","1091","0","499","Albert MN.","","0"
